sample,GPSC,merge_history
22695_3#243,4,4
21946_6#208,4,4
23733_1#100,4,4
15873_8#51,4,4
18787_3#13,4,4
21903_8#249,4,4
6925_1#53,4,4
27119_1#271,4,4
7553_5#53,4,4
21903_8#231,4,4
15191_6#61,4,4
15873_7#49,4,4
21946_6#201,4,4
23584_8#84,4,4
14673_2#27,4,4
21242_2#129,4,4
6999_2#6,4,4
19341_2#173,4,4
13091_3#84,4,4
22695_3#21,4,4
7622_4#1,4,4
21946_6#80,4,4
18090_2#172,4,4
22695_3#37,4,4
11860_1#84,4,4
17794_4#56,4,4
7622_5#50,4,4
34746_4#338,4,4
6486_6#14,4,4
16043_2#62,4,4
32139_3#43,4,4
19341_3#105,4,4
23495_7#45,4,4
15873_6#81,4,4
14673_1#76,4,4
13091_4#50,4,4
21946_6#123,4,4
13682_2#75,4,4
11511_7#65,4,4
14673_3#20,4,4
21903_8#220,4,4
7001_2#6,4,4
6569_8#5,4,4
15940_5#85,4,4
31919_2#218,4,4
21903_8#38,4,4
10754X126_140620_D00294_0106_AC4FB4ANXX_6,4,4
27119_1#153,4,4
15191_6#27,4,4
11893_1#64,4,4
21946_6#119,4,4
6472_6#23,4,4
27119_1#9,4,4
18814_1#24,4,4
18090_1#134,4,4
6512_1#11,4,4
21053_8#82,4,4
6925_2#91,4,4
6470_4#12,4,4
11679_1#10,4,4
13091_1#29,4,4
13414_2#24,4,4
13091_1#43,4,4
6999_4#23,4,4
27119_1#152,4,4
15940_7#61,4,4
17794_4#29,4,4
15682_5#73,4,4
18814_1#49,4,4
15940_5#65,4,4
6952_4#18,4,4
18814_1#72,4,4
22695_3#157,4,4
9950_1#61,4,4
18814_2#8,4,4
21903_8#150,4,4
17966_5#124,4,4
18787_3#16,4,4
15191_7#2,4,4
12291_4#77,4,4
12274_6#13,4,4
6593_2#17,4,4
15940_7#41,4,4
27119_1#191,4,4
17059_8#56,4,4
24775_1#86,4,4
15940_7#38,4,4
15940_7#46,4,4
10754X110_140620_D00294_0106_AC4FB4ANXX_6,4,4
27119_1#57,4,4
11826_3#83,4,4
19341_3#59,4,4
21946_6#242,4,4
27119_1#79,4,4
13414_1#2,4,4
22695_3#127,4,4
27119_1#159,4,4
27119_1#294,4,4
23495_7#22,4,4
12274_5#25,4,4
18814_1#53,4,4
12378_4#40,4,4
17262_1#23,4,4
7001_3#17,4,4
10868_6#73,4,4
14673_2#90,4,4
12274_5#24,4,4
21903_8#118,4,4
14673_3#4,4,4
6823_8#7,4,4
7622_2#9,4,4
21903_8#140,4,4
27119_1#99,4,4
18090_2#13,4,4
27119_1#106,4,4
13414_2#16,4,4
15682_8#23,4,4
19084_7#31,4,4
27119_1#125,4,4
6999_1#9,4,4
19787_5#51,4,4
27119_1#36,4,4
7622_3#88,4,4
22841_2#83,4,4
15873_6#8,4,4
27119_1#272,4,4
11893_1#52,4,4
21053_8#80,4,4
9950_1#90,4,4
18787_3#25,4,4
21903_8#162,4,4
22695_3#164,4,4
6512_3#8,4,4
7622_3#67,4,4
11826_4#19,4,4
21903_6#176,4,4
19341_3#33,4,4
14673_4#33,4,4
11826_1#39,3,3
11860_5#11,3,3
12837_4#18,3,3
14410_8#14,3,3
14913_4#22,3,3
15191_6#41,3,3
14412_2#37,3,3
13710_2#14,3,3
20427_5#79,3,3
31958_2#289,3,3
14913_7#57,3,3
14913_5#81,3,3
24775_1#164,3,3
16043_2#33,3,3
17175_4#82,3,3
14723_1#4,3,3
11860_6#44,3,3
21903_8#137,3,3
11860_7#6,3,3
11861_3#92,3,3
13682_2#72,3,3
15682_8#53,3,3
15940_5#21,3,3
14936_4#56,3,3
14913_4#7,3,3
17175_7#49,3,3
11861_3#90,3,3
22841_3#112,3,3
15191_8#19,3,3
24861_1#197,3,3
15940_6#19,3,3
22695_3#41,3,3
13710_2#71,3,3
22667_7#189,3,3
22841_4#178,3,3
16404_7#84,3,3
21903_8#310,3,3
16934_1#76,3,3
13091_4#67,3,3
22709_8#294,3,3
22984_8#45,3,3
7553_4#24,3,3
15940_7#67,3,3
17262_1#6,3,3
10071_4#56,3,3
21903_8#7,3,3
23584_8#183,3,3
14913_7#53,3,3
17138_3#2,3,3
17175_8#18,3,3
15841_5#37,3,3
16399_8#19,3,3
10868_6#76,3,3
21946_6#138,3,3
13710_1#67,3,3
16399_8#21,3,3
11860_5#71,3,3
31958_2#216,3,3
10050_2#51,3,3
22695_3#131,3,3
24861_1#48,3,3
28832_1#212,3,3
13414_8#71,3,3
14555_4#53,3,3
10071_4#44,3,3
14412_1#23,3,3
15873_8#16,3,3
17175_8#14,3,3
15940_5#79,3,3
24861_1#350,3,3
11861_2#57,3,3
6512_1#1,3,3
17175_7#68,3,3
6486_6#16,3,3
15873_8#71,3,3
13414_3#29,3,3
32036_8#83,3,3
12837_3#80,3,3
11860_8#5,3,3
7553_4#30,3,3
14913_4#95,3,3
6570_1#13,3,3
14412_1#50,3,3
32139_3#379,3,3
15873_6#18,3,3
12673_6#27,3,3
11861_3#7,3,3
15874_8#50,3,3
23733_1#138,3,3
16043_2#40,3,3
14257_1#42,3,3
15940_5#48,3,3
11893_1#77,3,3
22841_4#49,3,3
18090_1#55,3,3
18090_2#76,3,3
17175_4#93,3,3
17175_7#51,3,3
19787_5#29,3,3
6999_4#9,3,3
21999_7#172,3,3
7553_5#82,3,3
22695_3#190,3,3
12299_2#95,3,3
15940_4#62,3,3
17175_7#33,3,3
20427_5#17,3,3
9953_7#39,3,3
22709_8#325,3,3
14555_3#48,3,3
18090_2#5,3,3
10071_4#58,3,3
14913_2#26,3,3
23733_1#119,3,3
14520_8#12,3,3
23584_8#148,3,3
14412_2#52,3,3
6472_5#18,3,3
13681_1#11,3,3
11861_5#3,3,3
6512_7#12,3,3
7001_3#13,3,3
11861_4#68,3,3
14936_4#11,3,3
24775_1#165,3,3
21946_6#167,3,3
21999_7#158,3,3
19536_2#22,3,3
17175_4#37,3,3
6999_4#1,3,3
17175_7#55,3,3
13224_7#15,3,3
14566_8#37,3,3
14410_8#62,3,3
6486_7#1,3,3
32139_3#286,3,3
14672_3#41,3,3
15608_4#66,3,3
6512_7#19,3,3
22709_8#369,3,3
14555_3#73,3,3
21903_8#120,3,3
6486_8#16,3,3
13681_1#43,3,3
21946_6#323,3,3
13415_8#79,3,3
11860_5#27,3,3
14520_8#91,3,3
15191_7#33,3,3
21946_6#36,3,3
23584_8#147,3,3
7622_5#94,3,3
11860_6#71,3,3
21946_6#331,3,3
14913_2#92,3,3
12837_2#3,3,3
13224_7#13,3,3
15682_8#5,3,3
11861_4#52,3,3
16934_1#94,3,3
21999_8#38,3,3
14672_3#85,3,3
7622_3#69,3,3
11861_3#47,3,3
16399_8#28,3,3
11861_2#53,3,3
14936_4#44,3,3
17138_3#71,3,3
21053_8#154,3,3
22984_8#16,3,3
12274_5#29,3,3
20427_5#36,3,3
23495_7#86,3,3
24775_1#186,3,3
21903_8#191,3,3
21903_8#57,3,3
22695_3#48,3,3
21946_6#95,3,3
22841_1#115,3,3
13710_1#71,3,3
20427_5#53,3,3
22841_4#4,3,3
14913_4#59,3,3
11826_4#47,3,3
21903_8#279,3,3
11861_1#23,3,3
17794_7#64,3,3
11860_6#77,3,3
11861_5#56,3,3
23584_8#190,3,3
10847X1_140926_D00294_0134_AC4P96ANXX_5,3,3
21903_8#328,3,3
6569_8#20,3,3
21903_8#155,3,3
14913_6#10,3,3
14936_4#60,3,3
17138_5#81,3,3
22695_3#177,3,3
22695_3#249,3,3
6512_1#22,3,3
16404_7#5,3,3
19084_7#112,3,3
17175_8#4,3,3
23584_8#94,3,3
12673_6#60,3,3
21946_6#282,3,3
22667_7#170,3,3
10071_4#74,3,3
22709_8#365,3,3
11860_5#25,3,3
12274_6#66,3,3
11860_5#49,3,3
11860_8#60,3,3
20427_5#47,3,3
15682_8#33,3,3
19536_2#48,3,3
32139_3#213,3,3
15940_7#29,3,3
22695_3#2,3,3
22984_8#88,3,3
32139_2#293,3,3
21903_8#269,3,3
12291_3#5,3,3
6486_8#4,3,3
10071_4#34,3,3
17175_7#25,3,3
31537_1#241,3,3
15608_3#67,3,3
20427_5#68,3,3
17175_7#37,3,3
14913_5#16,3,3
15874_8#53,3,3
31958_2#118,3,3
22695_3#180,3,3
13415_5#91,3,3
13091_4#73,3,3
19536_2#52,3,3
23584_8#165,3,3
21903_8#20,3,3
13091_2#23,3,3
14913_5#43,3,3
6569_8#17,3,3
16453_3#75,3,3
6512_5#5,3,3
14723_3#37,3,3
23495_7#79,3,3
32139_3#44,3,3
21903_8#218,3,3
10208_2#74,3,3
15682_2#39,3,3
10071_4#60,3,3
10208_2#80,3,3
13091_4#36,3,3
12837_4#35,3,3
22709_8#364,3,3
31919_2#246,3,3
15940_6#57,3,3
7553_5#75,3,3
13415_7#44,3,3
17138_5#70,3,3
21946_6#230,3,3
15608_4#52,3,3
14555_3#26,3,3
13415_8#59,3,3
6512_3#23,3,3
22709_8#346,3,3
6925_2#73,3,3
15940_4#34,3,3
21053_8#129,3,3
7622_5#91,3,3
27119_1#282,3,3
21053_8#128,3,3
6512_5#22,3,3
32036_8#196,3,3
15940_3#73,3,3
22709_8#333,3,3
15995_2#21,3,3
13681_1#25,3,3
12291_1#43,3,3
12673_6#15,3,3
6570_3#21,3,3
16453_2#66,3,3
11860_6#81,3,3
21946_6#67,3,3
15682_6#67,3,3
22841_1#33,3,3
17175_8#56,3,3
6999_2#22,3,3
22841_2#116,3,3
22695_3#148,3,3
32139_2#234,3,3
21053_8#160,3,3
21999_8#39,3,3
22114_6#13,3,3
16404_8#63,3,3
11861_5#90,3,3
7622_3#56,3,3
21903_8#228,3,3
21903_8#222,3,3
6569_8#21,3,3
17150_6#9,3,3
11860_5#68,3,3
13681_1#1,3,3
23584_8#74,3,3
10050_2#82,3,3
12673_6#25,3,3
13710_1#19,3,3
14913_4#31,3,3
11861_1#54,3,3
11861_3#55,3,3
21903_8#167,3,3
23733_1#97,3,3
11860_1#22,3,3
13414_8#27,3,3
24861_1#349,3,3
18090_1#28,3,3
17175_8#46,3,3
16453_3#10,3,3
7622_4#17,3,3
13224_7#53,3,3
7622_3#55,3,3
13681_1#66,3,3
19341_2#171,3,3
22695_3#179,3,3
10071_4#43,3,3
11860_5#15,3,3
6512_6#9,3,3
13682_1#21,3,3
14913_4#58,3,3
15940_2#17,3,3
11861_4#23,3,3
21999_7#127,3,3
15682_6#11,3,3
7622_4#7,3,3
13091_3#88,3,3
15191_8#4,3,3
17794_7#67,3,3
22027_1#28,3,3
23164_8#74,3,3
16399_8#82,3,3
10208_2#8,3,3
21053_8#125,3,3
16399_8#75,3,3
22667_8#58,3,3
10050_2#85,3,3
15191_7#22,3,3
10208_2#77,3,3
22709_8#372,3,3
13682_2#21,3,3
14520_8#80,3,3
12274_5#38,3,3
21127_1#90,3,3
13091_1#4,3,3
17175_8#88,3,3
22695_3#32,3,3
32139_2#36,3,3
12291_3#12,3,3
14672_3#31,3,3
21946_6#284,3,3
21946_6#266,3,3
15191_7#52,3,3
13710_2#54,3,3
15874_8#70,3,3
6569_7#18,3,3
12837_3#74,3,3
22695_3#246,3,3
23733_1#111,3,3
12837_2#56,3,3
22027_1#115,3,3
14673_2#73,3,3
19084_7#57,3,3
15191_7#48,3,3
6472_5#23,3,3
11893_1#75,3,3
13091_3#80,3,3
21946_6#51,3,3
15682_3#47,3,3
13353_7#65,3,3
11860_4#58,3,3
12837_5#12,3,3
9953_7#42,3,3
13414_8#82,3,3
16404_8#80,3,3
14936_4#31,3,3
10208_2#85,3,3
11861_4#5,3,3
15682_2#45,3,3
13682_1#72,3,3
14913_5#63,3,3
20427_4#49,3,3
11658_8#10,3,3
14913_4#48,3,3
14936_4#43,3,3
21946_6#108,3,3
15940_4#31,3,3
32139_3#202,3,3
13091_4#68,3,3
6593_2#20,3,3
14913_7#68,3,3
13415_6#55,3,3
20427_5#62,3,3
22984_8#6,3,3
11860_7#81,3,3
22695_3#59,3,3
11860_4#65,3,3
15682_8#77,3,3
11860_5#89,3,3
11861_4#28,3,3
13224_7#4,3,3
14520_8#68,3,3
21903_8#52,3,3
17175_8#86,3,3
23584_8#107,3,3
22667_7#124,3,3
6470_4#15,3,3
6486_5#15,3,3
7622_2#13,3,3
21946_6#258,3,3
21903_8#340,3,3
6512_5#6,3,3
7622_4#11,3,3
15940_6#6,3,3
15191_5#10,3,3
14913_3#45,3,3
31537_1#359,3,3
11861_4#75,3,3
13415_6#37,3,3
14520_8#35,3,3
11861_3#10,3,3
23584_8#131,3,3
9953_7#15,3,3
11861_5#84,3,3
15874_8#71,3,3
21946_6#225,3,3
11861_3#15,3,3
22695_3#279,3,3
22984_8#2,3,3
23733_1#109,3,3
15682_6#48,3,3
23733_1#99,3,3
9953_7#25,3,3
13710_1#26,3,3
11822_8#49,3,3
18090_1#139,3,3
21903_8#168,3,3
20427_5#60,3,3
13091_3#68,3,3
16399_8#37,3,3
21903_8#262,3,3
31537_1#332,3,3
15191_7#25,3,3
18814_1#14,3,3
22709_8#332,3,3
21903_8#217,3,3
14723_3#20,3,3
15191_7#19,3,3
6486_8#13,3,3
17175_8#53,3,3
7001_3#19,3,3
23495_7#13,3,3
21946_6#228,3,3
21127_2#68,3,3
15191_5#9,3,3
16043_2#49,3,3
32139_3#20,3,3
10754X75_140620_D00294_0106_AC4FB4ANXX_5,3,3
12291_5#2,3,3
14913_4#8,3,3
11861_1#27,3,3
20427_4#47,3,3
11861_4#7,3,3
15191_8#67,3,3
15608_5#58,3,3
11861_5#9,3,3
21903_8#41,3,3
12837_4#83,3,3
23733_1#96,3,3
32139_2#28,3,3
6512_4#24,3,3
11861_1#70,3,3
23584_8#124,3,3
14555_3#59,3,3
11861_4#69,3,3
7622_4#19,3,3
22695_3#293,3,3
14723_4#71,3,3
15682_6#15,3,3
15608_3#11,3,3
14913_5#7,3,3
9953_7#63,3,3
11861_3#39,3,3
13682_1#63,3,3
13414_1#8,3,3
17150_6#12,3,3
20427_5#67,3,3
32036_8#255,3,3
15191_7#80,3,3
17175_4#3,3,3
13414_2#32,3,3
22027_1#91,3,3
22841_4#90,3,3
13414_3#50,3,3
24861_1#321,3,3
19787_6#41,3,3
24775_1#172,3,3
22709_8#314,3,3
22695_3#250,3,3
12673_6#50,3,3
15682_6#50,3,3
21903_8#303,3,3
15682_6#5,3,3
15531_6#39,3,3
15682_7#2,3,3
13415_7#69,3,3
10050_2#17,3,3
22695_3#31,3,3
15191_8#68,3,3
13682_2#31,3,3
14410_8#38,3,3
23584_8#71,3,3
14913_3#35,3,3
11861_1#10,3,3
13091_3#60,3,3
14913_7#79,3,3
16934_1#95,3,3
21946_6#268,3,3
22841_2#108,3,3
23584_8#112,3,3
21946_6#212,3,3
12299_1#40,3,3
14936_4#92,3,3
15608_2#65,3,3
17175_7#20,3,3
21903_8#256,3,3
15608_4#1,3,3
22841_1#183,3,3
21127_2#164,3,3
13414_8#79,3,3
15682_8#39,3,3
14913_5#69,3,3
15191_8#73,3,3
22027_1#156,3,3
10208_2#21,3,3
10071_4#82,3,3
13682_2#17,3,3
16399_8#36,3,3
15682_6#2,3,3
13091_3#21,3,3
10754X161_140620_D00294_0106_AC4FB4ANXX_6,3,3
18090_1#21,3,3
14913_4#88,3,3
15191_8#20,3,3
19084_8#119,3,3
21999_7#164,3,3
22667_8#59,3,3
23584_8#78,3,3
32139_2#146,3,3
11860_8#37,3,3
22695_3#133,3,3
11861_2#65,3,3
16453_3#40,3,3
14913_4#70,3,3
13224_7#20,3,3
21053_8#65,3,3
6512_6#10,3,3
22695_3#178,3,3
31537_1#261,3,3
14913_3#63,3,3
11822_1#88,3,3
11861_3#68,3,3
13091_3#2,3,3
15940_4#67,3,3
21903_8#193,3,3
7622_5#58,3,3
16043_2#39,3,3
14723_1#9,3,3
13091_2#54,3,3
15191_8#39,3,3
17794_3#75,3,3
7622_5#95,3,3
14566_8#93,3,3
15682_6#87,3,3
21999_8#126,3,3
22984_8#62,3,3
11860_5#70,3,3
6952_4#12,3,3
13682_1#17,3,3
23584_8#110,3,3
7001_1#18,3,3
14520_8#93,3,3
7622_5#90,3,3
15874_1#47,3,3
14913_7#81,3,3
19787_5#57,3,3
6512_7#3,3,3
14412_3#71,3,3
22695_3#181,3,3
14913_6#65,3,3
14913_6#89,3,3
19084_8#53,3,3
21999_7#114,3,3
6472_6#15,3,3
21903_8#46,3,3
22695_3#149,3,3
14412_2#93,3,3
11860_1#94,3,3
24775_1#180,3,3
6472_7#11,3,3
15191_8#22,3,3
11860_5#12,3,3
11861_3#24,3,3
10050_2#30,3,3
21127_1#23,3,3
11861_5#38,3,3
7622_4#39,3,3
9953_7#48,3,3
13353_7#72,3,3
19536_2#51,3,3
13415_7#81,3,3
20427_5#29,3,3
13682_2#66,3,3
7001_3#18,3,3
11861_1#44,3,3
22841_4#52,3,3
22695_3#77,3,3
13681_1#77,3,3
17138_3#66,3,3
14913_5#55,3,3
17138_4#18,3,3
12274_6#3,3,3
10754X2_140620_D00294_0106_AC4FB4ANXX_5,3,3
15940_4#29,3,3
14673_4#67,3,3
14566_6#70,3,3
21946_6#304,3,3
6472_6#21,3,3
11860_1#87,3,3
11860_8#94,3,3
9953_7#46,3,3
12837_2#58,3,3
13091_1#63,3,3
14913_5#15,3,3
14566_5#4,3,3
13681_1#61,3,3
23495_7#87,3,3
13415_5#24,3,3
15873_8#19,3,3
6952_7#9,3,3
7622_5#57,3,3
14520_8#73,3,3
22841_2#159,3,3
17138_3#59,3,3
21903_8#58,3,3
6486_5#21,3,3
14913_6#81,3,3
23584_8#102,3,3
11861_2#84,3,3
13091_1#65,3,3
15191_8#44,3,3
14257_1#27,3,3
11860_5#96,3,3
12754_4#60,3,3
21903_8#190,3,3
23495_7#35,3,3
22841_2#99,3,3
17175_6#63,3,3
24977_8#100,3,3
6512_2#19,3,3
15940_3#78,3,3
20427_5#41,3,3
32139_4#135,3,3
9953_7#27,3,3
13224_7#28,3,3
21999_8#65,3,3
13091_4#49,3,3
15608_4#34,3,3
21903_8#62,3,3
15682_8#11,3,3
15191_5#43,3,3
10208_2#67,3,3
21127_1#58,3,3
23584_8#126,3,3
21946_6#175,3,3
14412_2#81,3,3
21903_8#125,3,3
14913_2#53,3,3
21946_6#70,3,3
13681_1#85,3,3
13682_1#24,3,3
14913_7#56,3,3
17175_8#35,3,3
21946_6#276,3,3
6486_6#21,3,3
15191_8#21,3,3
15608_3#2,3,3
14913_7#1,3,3
17966_5#136,3,3
6999_1#20,3,3
22841_4#104,3,3
11893_1#20,3,3
14673_4#69,3,3
13681_1#44,3,3
6999_2#2,3,3
21946_6#325,3,3
22841_2#30,3,3
32036_8#7,3,3
17966_5#146,3,3
14913_4#65,3,3
17175_7#16,3,3
6999_2#8,3,3
10071_4#15,3,3
6512_5#17,3,3
12291_2#53,3,3
10071_4#21,3,3
21903_8#88,3,3
14936_4#53,3,3
18090_1#141,3,3
8016_3#81,3,3
9953_7#5,3,3
22709_8#324,3,3
14723_6#4,3,3
21903_8#27,3,3
22695_3#315,3,3
6512_5#8,3,3
21053_8#70,3,3
14520_8#16,3,3
15874_8#56,3,3
21903_8#320,3,3
15841_4#95,3,3
19084_7#152,3,3
13414_1#11,3,3
7001_3#12,3,3
11861_2#27,3,3
10071_4#69,3,3
13091_1#92,3,3
15191_5#40,3,3
11860_8#32,3,3
15940_5#77,3,3
21053_8#110,3,3
23584_8#172,3,3
14913_2#44,3,3
23584_8#137,3,3
22841_1#113,3,3
14673_4#38,3,3
10208_2#13,3,3
10071_4#28,3,3
15191_7#23,3,3
11860_4#50,3,3
21903_8#198,3,3
11861_3#69,3,3
14913_7#42,3,3
24861_1#348,3,3
15874_8#5,3,3
17150_6#6,3,3
23584_8#88,3,3
13710_2#7,3,3
19084_7#15,3,3
13353_7#90,3,3
14913_6#75,3,3
6486_8#19,3,3
14520_8#29,3,3
17175_4#4,3,3
15873_7#11,3,3
16453_3#30,3,3
17150_6#51,3,3
11893_1#1,3,3
21946_6#19,3,3
22695_3#154,3,3
21053_8#76,3,3
23584_8#162,3,3
32139_4#81,3,3
10071_4#64,3,3
11860_5#14,3,3
11860_6#93,3,3
14673_3#62,3,3
22841_2#2,3,3
14913_3#2,3,3
6999_7#17,3,3
11861_2#28,3,3
9953_7#2,3,3
13682_2#63,3,3
14566_5#52,3,3
15682_1#19,3,3
19536_2#68,3,3
7553_5#80,3,3
20427_5#21,3,3
20427_5#6,3,3
15874_8#25,3,3
22695_3#223,3,3
21946_6#113,3,3
23495_7#15,3,3
15940_1#61,3,3
14673_2#5,3,3
21946_6#44,3,3
15682_7#60,3,3
20427_4#36,3,3
14913_6#43,3,3
22114_6#81,3,3
22027_1#82,3,3
6512_5#3,3,3
7553_4#26,3,3
22695_3#286,3,3
15874_8#26,3,3
12837_1#82,3,3
19084_8#66,3,3
16404_8#86,3,3
14412_1#40,3,3
13682_1#11,3,3
11860_5#72,3,3
12837_3#72,3,3
22695_3#311,3,3
17150_5#49,3,3
21946_6#213,3,3
14937_1#21,3,3
31537_1#265,3,3
32036_8#363,3,3
14566_6#82,3,3
6470_6#15,3,3
22984_8#67,3,3
14566_8#80,3,3
14555_4#23,3,3
14913_3#70,3,3
15191_7#24,3,3
6925_1#70,3,3
14520_8#7,3,3
6999_6#4,3,3
22027_1#136,3,3
19787_6#40,3,3
21903_8#233,3,3
16399_8#35,3,3
21946_6#96,3,3
13415_5#17,3,3
16399_8#23,3,3
9953_7#36,3,3
6472_8#22,3,3
11860_4#14,3,3
15940_4#23,3,3
15940_4#24,3,3
22709_8#354,3,3
10050_2#49,3,3
14673_3#53,3,3
16043_2#85,3,3
22841_3#141,3,3
15940_5#64,3,3
11658_8#4,3,3
21946_6#226,3,3
17138_3#32,3,3
31919_2#154,3,3
11861_1#86,3,3
23584_8#134,3,3
16453_3#41,3,3
22695_3#233,3,3
6512_4#17,3,3
11860_6#40,3,3
12837_1#63,3,3
16404_7#72,3,3
19341_3#6,3,3
6999_7#2,3,3
10208_2#70,3,3
23733_1#106,3,3
15682_7#89,3,3
7553_5#86,3,3
14913_6#21,3,3
23584_8#129,3,3
11860_6#3,3,3
14672_3#63,3,3
10071_4#24,3,3
15682_7#76,3,3
21946_6#66,3,3
6512_2#7,3,3
19341_3#79,3,3
16453_3#54,3,3
10754X121_140620_D00294_0106_AC4FB4ANXX_6,3,3
21946_6#176,3,3
9953_7#20,3,3
10847X11_140926_D00294_0134_AC4P96ANXX_5,3,3
11860_4#38,3,3
14355_8#80,3,3
22695_3#171,3,3
11861_1#83,3,3
21946_6#264,3,3
10208_2#39,3,3
15682_8#60,3,3
22841_4#77,3,3
31958_2#365,3,3
14566_8#43,3,3
10208_2#58,3,3
12754_4#65,3,3
13091_1#42,3,3
15682_4#20,3,3
15841_2#15,3,3
17175_7#10,3,3
21053_8#93,3,3
21903_8#11,3,3
31958_2#278,3,3
12837_3#6,3,3
14913_4#75,3,3
22984_8#73,3,3
7622_4#34,3,3
15873_6#17,3,3
22841_1#154,3,3
6472_6#20,3,3
13682_1#31,3,3
12045_8#79,3,3
32139_3#342,3,3
17138_4#54,3,3
15873_8#18,3,3
22695_3#188,3,3
15682_6#37,3,3
21946_6#302,3,3
15995_2#61,3,3
14913_5#77,3,3
11861_2#70,3,3
21946_6#170,3,3
12673_6#9,3,3
12838_1#85,3,3
21903_8#290,3,3
7001_1#3,3,3
14913_3#19,3,3
15682_7#3,3,3
22695_3#113,3,3
13091_2#55,3,3
22695_3#78,3,3
19536_2#78,3,3
13682_2#11,3,3
14913_6#53,3,3
13681_1#14,3,3
15191_8#9,3,3
15940_5#37,3,3
16453_3#23,3,3
17175_8#26,3,3
21903_8#171,3,3
22695_3#280,3,3
10050_2#5,3,3
12291_2#43,3,3
15940_6#12,3,3
21999_7#170,3,3
22695_3#325,3,3
21127_1#121,3,3
11826_4#25,3,3
32139_2#278,3,3
17138_3#5,3,3
6999_6#7,3,3
17175_8#54,3,3
15191_7#20,3,3
22695_3#143,3,3
22841_2#20,3,3
6512_2#24,3,3
16404_8#17,3,3
14913_7#95,3,3
17175_6#9,3,3
14913_3#3,3,3
19084_7#137,3,3
21946_6#322,3,3
21946_6#109,3,3
11893_1#72,3,3
14937_1#16,3,3
22695_3#251,3,3
6925_2#89,3,3
31919_2#123,3,3
12291_1#53,3,3
10702_5#58,3,3
32036_8#268,3,3
13682_1#66,3,3
15682_8#54,3,3
11861_2#5,3,3
10208_2#76,3,3
21946_6#182,3,3
21946_6#247,3,3
17175_7#36,3,3
24861_1#236,3,3
7553_5#52,3,3
21127_1#16,3,3
16043_2#54,3,3
22695_3#219,3,3
12299_2#20,3,3
17175_8#3,3,3
21946_6#283,3,3
22695_3#294,3,3
11861_2#55,3,3
22695_3#60,3,3
10396_8#21,3,3
13091_2#58,3,3
14937_1#17,3,3
13682_2#24,3,3
17150_5#88,3,3
19536_2#53,3,3
15682_6#46,3,3
15682_6#38,3,3
21999_8#99,3,3
14913_5#51,3,3
10071_4#63,3,3
12837_4#73,3,3
15995_1#132,3,3
12291_3#78,3,3
22695_3#33,3,3
21999_8#69,3,3
12837_4#54,3,3
22695_3#168,3,3
16453_3#46,3,3
21946_6#5,3,3
11860_5#7,3,3
21999_8#45,3,3
13091_4#72,3,3
14913_2#23,3,3
7622_2#44,3,3
14673_3#70,3,3
11511_8#52,3,3
21053_8#75,3,3
14566_6#51,3,3
6999_7#19,3,3
23584_8#121,3,3
15531_6#50,3,3
21946_6#152,3,3
23495_7#38,3,3
15682_5#44,3,3
15682_8#25,3,3
14913_4#72,3,3
15682_6#40,3,3
14913_6#3,3,3
21903_8#26,3,3
22984_8#48,3,3
11861_3#48,3,3
11860_5#60,3,3
13091_1#86,3,3
14673_4#45,3,3
14936_4#26,3,3
16043_2#44,3,3
17175_8#34,3,3
21903_8#53,3,3
24861_1#330,3,3
14913_3#49,3,3
15841_2#14,3,3
12216_4#95,3,3
21903_8#160,3,3
15940_1#48,3,3
22027_1#20,3,3
32139_3#288,3,3
16404_8#35,3,3
21903_8#245,3,3
7001_1#4,3,3
15191_8#5,3,3
14723_3#31,3,3
11860_6#33,3,3
18090_1#46,3,3
16934_1#64,3,3
31537_1#181,3,3
13224_7#43,3,3
22984_8#44,3,3
13091_1#11,3,3
14555_3#72,3,3
21903_8#54,3,3
13091_3#70,3,3
22695_3#319,3,3
15682_8#72,3,3
15608_5#30,3,3
14936_4#77,3,3
14913_7#75,3,3
15841_5#18,3,3
11861_1#76,3,3
6472_5#22,3,3
14673_3#74,3,3
10754X181_140620_D00294_0106_AC4FB4ANXX_6,3,3
18090_1#132,3,3
13091_1#41,3,3
17428_8#71,10,10
32139_7#121,10,10
32139_7#45,10,10
32386_2#22,10,10
34746_4#97,10,10
31585_6#98,10,10
14566_4#32,10,10
27119_1#186,10,10
6649_8#19,10,10
20957_7#125,10,10
32139_7#133,10,10
17966_5#20,10,10
13414_8#8,10,10
28832_1#170,10,10
6925_8#6,10,10
32139_7#245,10,10
25052_8#20,10,10
29102_1#209,10,10
6755_2#15,10,10
15873_6#57,10,10
29102_1#136,10,10
6823_8#9,10,10
32139_7#33,10,10
34746_4#124,10,10
15682_2#36,10,10
34746_4#43,10,10
32139_3#359,10,10
22335_8#64,10,10
31919_2#163,10,10
6938_8#17,10,10
32139_7#332,10,10
32139_7#176,10,10
20925_3#49,10,10
34746_4#19,10,10
9789_2#81,10,10
28042_2#3,10,10
22335_8#20,10,10
28522_3#44,10,10
6680_8#11,10,10
34746_4#350,10,10
14723_3#27,10,10
17870_8#109,10,10
17966_5#81,10,10
28516_1#42,10,10
28832_1#121,10,10
17138_4#56,10,10
12837_1#31,10,10
34746_4#31,10,10
6983_4#91,10,10
28042_2#350,10,10
14566_4#41,10,10
